k2,k3,k4,k5,k6,k7,k8
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,2,2,2
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,2,2,2,3,3,3
1,2,2,2,3,3,3
1,2,2,2,3,3,3
1,2,2,2,3,3,3
1,2,2,2,3,3,3
1,2,2,2,3,3,3
1,2,2,2,3,3,3
1,2,2,2,3,3,3
1,2,2,2,3,3,3
1,2,2,2,3,3,3
1,2,3,3,4,4,4
1,2,3,3,4,4,4
1,2,3,3,4,4,4
1,2,3,3,4,4,4
1,2,3,4,5,5,5
1,2,3,3,4,4,4
1,2,3,3,4,4,4
1,2,3,3,4,4,4
1,2,3,3,4,4,4
1,2,3,3,4,4,4
2,3,4,5,6,6,6
2,3,4,5,6,6,6
2,3,4,5,6,6,6
2,3,4,5,6,6,7
2,3,4,5,6,6,6
2,3,4,5,6,6,6
2,3,4,5,6,6,6
2,3,4,5,6,7,8
2,3,4,5,6,6,6
2,3,4,5,6,6,6
