a,b,h
-22,-26,0.8039883871165292
-11,-19,0.86219183919876552
-12,-14,0.88837097057723335
-16,-20,0.93805528618685363
-4,-6,1.0429622486345822
-27,-29,1.0806291433704318
-35,-40,1.2834130130945727
-15,-17,1.2879097618316251
-21,-23,1.5014750623238053
-3,-9,1.6014137945197164
3,4,1.6321952293823296
-2,-8,1.6532570452790671
-31,7,1.6753758018671574
-36,-37,1.73946550159526
5,10,1.7593227514330265
-24,6,1.8173889077202365
-30,1,1.850514737127873
-33,-39,1.9731979530259403
2,8,2.2380193628245371
9,16,2.2630613511287812
13,18,2.2958555558744056
-18,11,2.3518882920491291
-13,19,2.3824277613067792
-10,15,2.3935702008269972
-5,12,2.4173927584809425
-32,21,2.5637982910973074
22,23,2.7855067667645406
-1,24,2.8000131274432025
17,20,3.0510662667778172
14,26,3.2165432074075468
25,28,3.3075588606142095
-28,29,3.416955068891034
-34,30,3.490065060420215
-38,33,3.7658723153097844
-7,31,3.8516089513832079
-25,32,3.9370723361207629
27,36,9.2841807076951817
35,37,13.801075424246278
34,38,18.411094373823019
