V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25
1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0.1875,0.189873417721519,0,0,1,0.18421052631578946,0.125,0,0,1,0.061728395061728392,0.064935064935064929,0,0,0.054794520547945202,0,0,0,0,0.025974025974025976,0,0
0,0,0.1875,1,1,0,0,0.18292682926829268,1,1,0,0,0.07407407407407407,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.189873417721519,1,1,0,0,0.17857142857142858,1,1,0,0,0.07407407407407407,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0.18292682926829268,0.17857142857142858,0,0,1,0.17721518987341772,0.11904761904761904,0,0,1,0.060240963855421686,0.064102564102564097,0,0,0.054054054054054057,0,0,0,0,0.037037037037037035,0,0
0,0,0.18421052631578946,1,1,0,0,0.17721518987341772,1,1,0,0,0.076923076923076927,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.125,1,1,0,0,0.11904761904761904,1,1,0,0,0.024096385542168676,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.80519480519480524,0.8571428571428571,0,0,0,0.80769230769230771,0.83750000000000002,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.80821917808219179,0.85135135135135132,0,0,0,0.81578947368421051,0.84210526315789469,0,0,0
0,0,1,0.07407407407407407,0.07407407407407407,0,0,1,0.076923076923076927,0.024096385542168676,0,0,1,0.072289156626506021,0.076923076923076927,0,0,0.067567567567567571,0,0,0,0,0.037974683544303799,0,0
0,0,0.061728395061728392,0,0,0,0,0.060240963855421686,0,0,0,0,0.072289156626506021,1,1,0,0,1,0.97560975609756095,0.94936708860759489,0,0,1,0.92000000000000004,0.92307692307692313
0,0,0.064935064935064929,0,0,0,0,0.064102564102564097,0,0,0,0,0.076923076923076927,1,1,0,0,1,0.97402597402597402,0.94736842105263153,0,0,1,0.9178082191780822,0.91891891891891897
0,0,0,0,0,0,0,0,0,0,0.80519480519480524,0.80821917808219179,0,0,0,1,1,0,0,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0.8571428571428571,0.85135135135135132,0,0,0,1,1,0,0,0,1,1,0,0,0
0,0,0.054794520547945202,0,0,0,0,0.054054054054054057,0,0,0,0,0.067567567567567571,1,1,0,0,1,0.9859154929577465,0.95652173913043481,0,0,1,0.9242424242424242,0.93150684931506844
0,0,0,0,0,0,0,0,0,0,0,0,0,0.97560975609756095,0.97402597402597402,0,0,0.9859154929577465,1,1,0,0,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0.94936708860759489,0.94736842105263153,0,0,0.95652173913043481,1,1,0,0,0.98701298701298701,1,1
0,0,0,0,0,0,0,0,0,0,0.80769230769230771,0.81578947368421051,0,0,0,1,1,0,0,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0.83750000000000002,0.84210526315789469,0,0,0,1,1,0,0,0,1,1,0,0,0
0,0,0.025974025974025976,0,0,0,0,0.037037037037037035,0,0,0,0,0.037974683544303799,1,1,0,0,1,1,0.98701298701298701,0,0,1,0.95833333333333337,0.96103896103896103
0,0,0,0,0,0,0,0,0,0,0,0,0,0.92000000000000004,0.9178082191780822,0,0,0.9242424242424242,1,1,0,0,0.95833333333333337,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0.92307692307692313,0.91891891891891897,0,0,0.93150684931506844,1,1,0,0,0.96103896103896103,1,1
